frame,master,center_lon,center_lat
035A_04908_131313,20190509,-123.1176667, 40.9276111
035A_05107_131313,20190509,-122.6675000, 38.9384444
035D_05397_131013,20161220, 51.3753333, 36.0537222
035D_05592_141313,20200415, 50.9169445, 34.0107222
035D_05790_121313,20160915, 50.5044433, 32.1031122
035D_05978_131209,20160915, 50.0838877, 30.1055011
035D_06208_120410,20160915, 50.6804451, 28.8411660
036A_02653_131313,20201006,-154.7095000, 63.4655000
036A_02844_131212,20200503,-153.8993954, 61.5517827
036A_03208_131001,20200503,-152.4220000, 57.6416111
036D_04807_031312,20160903, 28.0999423, 42.2028360
036D_04976_131313,20160903, 27.6297768, 40.2164468
036D_05175_131313,20160903, 27.1668326, 38.2280007
036D_05382_121515,20160903, 26.6919981, 36.0964447
036D_05388_121616,20200614, 26.6739445, 36.0156666
036D_05505_000202,20160903, 25.9538879, 34.9218340
037A_03794_030304,20190930,-175.3296667, 52.0557778
037D_04542_131313,20160903, 3.9678317, 44.5625554
037D_04691_021207,20160903, 3.5092208, 42.6885547
038A_03435_080808,20190503, 158.9010556, 55.6378333
038A_03576_131307,20190503, 159.3623889, 54.0733333
038A_09579_100706,20190503, 147.8847222, -5.6932222
038A_09584_100906,20200614, 147.8975000, -5.7476111
038A_09647_000200,20200602, 148.0770556, -6.4622222
038A_09758_131318,20200614, 148.3424445, -7.7412778
038A_09936_151712,20200614, 148.7128889, -9.2105000
038A_09963_111312,20190503, 148.7852222, -9.5426667
039A_05193_040711,20190415, 138.7393333, 38.2386111
039A_05372_151515,20170107, 139.1733333, 36.2755555
039A_05599_101702,20190509, 139.7185556, 33.7851111
039A_09827_040302,20190503, 123.7432778, -8.2045000
039A_09931_061510,20190503, 123.9645000, -8.7608334
039D_10442_131313,20200720, -58.0186111, -14.4431667
039D_10642_131313,20200720, -58.5025555, -16.4336111
039D_11038_131313,20200726, -59.5487778, -20.4000000
039D_12224_131313,20200720, -63.0404444, -32.2577222
039D_12617_131313,20200720, -64.3765555, -36.1895000
039D_12813_131313,20200801, -65.1118333, -38.1448334
039D_13008_131313,20200801, -65.8785000, -40.0961667
039D_13781_131313,20200726, -69.5064444, -47.8226667
039D_13972_131313,20200726, -70.5506667, -49.7402778
039D_14339_121309,20170308, -72.8902222, -53.5450556
040A_04764_131313,20160927, 113.0827179, 42.3655584
040A_05593_131313,20201012, 114.9590556, 34.0742222
040A_05791_131313,20201012, 115.3913333, 32.0820000
040A_08963_131411,20201123, 121.8985556, 0.4264444
040D_06962_050809,20191229, -75.3155000, 20.3923889
040D_08181_131311,20200807, -77.7861111, 8.1231111
040D_08354_120300,20200807, -77.8442778, 6.0826111
040D_08490_250300,20201006, -78.0775000, 4.9997778
040D_08684_190400,20201018, -78.4081111, 3.4166111
040D_08880_191607,20201205, -79.1793333, 1.4601111
040D_08919_131307,20161202, -79.2631667, 0.9616111
040D_09102_131313,20200906, -79.7106111, -1.0372778
041A_04983_131313,20160903, 88.9304965, 40.1690563
