,frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time,s1AorB,opass,s1ab_offset_mm4,vel4,podoff4
197,021D_07147_131313,2017-03-07,33.3443,18.5128,-169.1375,14.007,2.3296,33.8853,877835.0378,3:38:44.658282,B,D,1.541949037069223,-22.676146021713386,1.5419490370692233
199,021D_09150_131313,2017-03-25,29.2252,-1.5296,-167.9237,14.0488,2.3296,33.8656,878429.6825,3:44:58.903932,A,D,-29.846842423120137,-64.00112147419088,-104.41893000443292
202,022D_04617_161617,2016-09-02,14.0992,43.8306,-169.9524,13.9407,2.3296,33.6817,880310.3047,5:11:13.682997,A,D,50.552789780583446,-27.268840063369606,27.011316741197263
205,023A_13470_171714,2020-03-27,170.1039,-44.7166,-18.4495,14.0656,2.3296,38.6902,886330.4517,7:38:07.359974,B,A,24.60652683791385,30.051819135006973,64.38829739121863
217,026A_04929_131313,2016-09-02,99.0832,40.7087,-10.066,13.9591,2.3296,33.6336,878759.8148,11:19:45.357136,A,A,0.0,-16.646357381598456,26.464519164330532
218,026A_05128_131313,2016-09-02,99.5644,38.7223,-10.0826,13.9673,2.3296,33.6743,878760.9796,11:19:12.257542,A,A,0.0,-16.842802519191657,28.369536265385104
219,026A_05327_131313,2016-09-02,100.0239,36.734,-10.1174,13.9742,2.3296,33.7512,878759.8148,11:18:39.160001,A,A,0.0,-9.225509432237875,40.88050258859395
222,026A_05924_131313,2016-09-02,101.2991,30.7586,-10.3081,13.9897,2.3296,33.8847,878760.9796,11:16:59.859160,A,A,0.0,-21.542280920539245,52.30663630651048
224,026A_06324_131313,2016-09-02,102.1326,26.765,-10.4632,13.9939,2.3296,33.9388,878760.9796,11:15:53.660997,A,A,0.0,-16.004457681572333,113.98020494255248
225,026A_06524_131313,2016-09-02,102.5349,24.7696,-10.5522,14.0001,2.3296,33.9863,878760.9796,11:15:20.563457,A,A,0.0,-2.333999223732804,110.03096129863498
232,027A_05393_131313,2016-09-02,75.4977,36.0807,-10.1258,13.9728,2.3296,33.8045,879233.7143,12:57:12.997166,A,A,28.801217187874535,14.675894142390367,54.60367499567761
233,027A_05591_131313,2016-09-02,75.9294,34.0878,-10.184,13.9748,2.3296,33.8759,879233.7143,12:56:39.894487,A,A,25.834543320450432,12.66980022771757,57.164680027914
235,027A_05990_131313,2016-09-02,76.7264,30.1006,-10.3461,13.9821,2.3296,33.9417,879233.7143,12:55:33.695297,A,A,0.0,4.469673856613528,53.237956152830556
237,027D_05524_131313,2017-03-01,-111.4385,34.738,-169.8111,13.9694,2.3296,33.8199,879236.7094,13:27:24.900738,A,D,0.0,-15.139504287714093,18.183569461944824
239,027D_06303_130908,2017-03-01,-113.1193,26.7088,-169.5191,13.9855,2.3296,33.9852,879236.7094,13:29:38.181981,A,D,0.0,-58.699212038596364,117.39864346361
244,028A_05618_131313,2019-12-28,51.2609,33.8199,-10.2155,13.9778,2.3296,39.5487,878911.0699,14:35:38.226184,A,A,0.0,14.701207102001252,41.4736092606168
247,028A_06197_071312,2016-09-02,52.5088,27.8391,-10.4344,13.9903,2.3296,33.9832,879018.3962,14:33:40.809309,A,A,0.0,20.066563738921502,43.49806255414724
252,029A_05182_131413,2016-09-02,25.6171,38.1757,-10.1036,13.961,2.3296,34.0115,880843.9408,16:15:17.108196,A,A,578.4979353611608,-140.77150546222805,105.14156421313594
253,029A_05389_141412,2016-09-02,26.0873,36.0738,-10.1511,13.9686,2.3296,34.0861,880843.9408,16:14:42.147296,A,A,-95.2295807756151,-19.629263892120846,-12.94173625694212
264,032D_07536_111313,2017-03-01,121.025,14.6626,-168.9344,14.0158,2.3296,33.9528,877767.5878,21:46:40.417106,A,D,64.3936785469306,-14.87625958047103,-23.831953824280564
265,032D_07741_141414,2020-07-19,120.5957,12.5817,-168.8232,14.019,2.3296,39.6883,877732.6444,21:47:40.679194,A,D,33.496546870396315,-59.46165053707035,7.945127877607007
267,033D_04907_131313,2020-12-10,101.8565,40.9127,-169.9283,13.9527,2.3296,39.392,878712.2252,23:18:37.705639,A,D,-113.43645665434933,29.829653606943296,73.84310138322931
268,033D_05106_131313,2016-09-14,101.371,38.9284,-169.9163,13.9565,2.3296,33.6452,878914.0651,23:18:46.226705,A,D,0.0,-3.4213999467525067,-6.850047467777088
274,033D_06301_131313,2016-09-02,98.7711,26.7512,-169.525,13.9957,2.3296,33.837,877985.901,23:22:07.939175,A,D,0.0,-3.0668780093308285,55.56048335902522
275,033D_06500_131313,2016-09-02,98.4087,24.9744,-169.4486,13.9957,2.3296,33.837,877985.901,23:22:37.372686,A,D,0.0,-18.47568993624365,0.28547969402705753
276,033D_06701_131313,2016-09-02,97.9984,22.9769,-169.3602,13.9991,2.3296,33.8866,877985.901,23:23:10.469198,A,D,0.0,-3.3209930634444262,39.5432295269197
283,034D_05310_131313,2016-09-15,76.2181,36.8768,-169.8795,13.965,2.3296,33.7992,879479.8158,0:58:05.074834,A,D,3.990281214342377,-33.38881036681155,6.09096331770661
284,034D_05509_131313,2016-09-15,75.7441,34.8841,-169.8481,13.974,2.3296,33.8372,879480.9806,0:58:38.175457,A,D,-23.328279736404983,-42.617856211574356,70.80335667431137
285,034D_05709_131313,2016-09-15,75.3426,32.8859,-169.7698,13.9759,2.3296,33.8737,879480.9806,0:59:11.275052,A,D,-45.98700132008699,-45.73961235011353,-52.43654283073479
286,034D_05909_131313,2016-09-15,74.9442,30.8899,-169.6878,13.9769,2.3296,33.9414,879479.8158,0:59:44.378759,A,D,-12.552200904554494,-35.622169998381686,-29.226731892936808
307,036D_04807_031312,2016-09-03,28.0999,42.2028,-169.9483,13.9465,2.3296,33.7297,880142.5763,4:14:04.896450,A,D,80.2187455998886,-28.514223906609825,20.050981439105495
316,038A_03435_080808,2019-05-03,158.9011,55.6378,-10.3367,13.9196,2.3296,39.3055,881453.6206,7:09:01.223628,A,A,0.0,176.4382168963723,61.59345505206038
317,038A_03576_131307,2019-05-03,159.3624,54.0733,-10.2605,13.9226,2.3296,39.344,881453.6206,7:08:35.024535,A,A,0.0,-58.15779738692852,44.257935597912194
323,038A_09963_111312,2019-05-03,148.7852,-9.5427,-12.7152,14.0583,2.3296,39.4568,878833.3624,8:29:40.596282,A,A,0.0,-21.38726281050002,-104.30413670002194
326,039A_05599_101702,2019-05-09,139.7186,33.7851,-10.2217,13.9732,2.3296,39.5745,878940.2486,8:40:59.716847,B,A,76.21670433925804,-145.21793986140855,-19.272167788463182
329,039A_09931_061510,2019-05-03,123.9645,-8.7608,-12.6563,14.0574,2.3296,39.4612,878899.5886,10:08:34.506382,A,A,8.184743076114684,152.3822667763523,31.12765996962417
339,039D_14339_121309,2017-03-08,-72.8902,-53.5451,-158.0483,14.0614,2.3296,32.6769,887591.2439,9:36:14.872903,B,D,-187.67214135879559,47.23080614456794,58.85397864544894
340,040A_04764_131313,2016-09-27,113.0827,42.3656,-10.0556,13.9549,2.3296,33.6155,878838.1879,10:22:37.995075,A,A,0.0,-79.57687548476555,-7.873212213394211
350,040D_08919_131307,2016-12-02,-79.2632,0.9616,-168.1,14.0408,2.3296,33.8997,878082.4705,10:59:45.401754,B,D,-9.582640751967999,25.72592398673964,-48.76714060810147
358,041A_05185_121216,2016-09-03,89.4488,37.9368,-10.1026,13.9736,2.3296,33.8174,879407.2667,12:00:07.855624,A,A,0.0,-4.585707489397309,34.821658781401766
359,041A_05206_161616,2020-10-24,89.4459,37.9321,-10.1051,13.9726,2.3296,39.4768,879080.296,12:00:34.045842,A,A,0.0,-111.39942752350507,-62.70726909213577
360,041A_05430_131313,2016-09-03,89.9928,35.7009,-10.128,13.9773,2.3296,33.8544,879407.2667,11:59:30.622305,A,A,0.0,-60.3415417197162,-36.97510061537978
361,041A_05629_131313,2016-09-03,90.4287,33.7101,-10.1846,13.9816,2.3296,33.8898,879407.2667,11:58:57.530932,A,A,0.0,2.3585859166854664,59.45947980646323
362,041A_05829_131313,2016-09-03,90.8561,31.7181,-10.2501,13.9888,2.3296,33.9567,879407.2667,11:58:24.430309,A,A,0.0,-4.5715516260873414,64.3205364430747
