,frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time,s1AorB,opass,s1ab_offset_mm_prepost,s1ab_offset_mm,s1ab_offset_mm2,vel2,podoff,s1ab_offset_mm3,vel3,podoff3,s1ab_offset_mm_ok,count
1385,142A_07411_111313,2019-05-04,120.7482,15.9469,-10.9923,14.017,2.3296,39.6548,877663.3157,10:06:34.812942,B,A,73.42146498240751,-129.2675135654336,-115.02043375049453,-21.491928746977003,-34.42146498240744,29.717694275494924,5.988642078650401,23.546971893876968,34.484485378551305,143
1427,144D_05102_121313,2017-03-09,-118.7319,38.9509,-169.9119,13.9601,2.3296,33.7562,879496.1228,13:59:09.961290,A,D,,41.13535559426625,45.89462911716111,23.63743212734744,55.9741366130162,46.76141860879457,5.826765471219938,31.75201748012831,48.66235493607433,128
1430,145A_04550_131313,2016-09-10,40.6185,44.3084,-10.044,13.9488,2.3296,33.6378,879358.5122,15:11:10.015723,A,A,-90.7260410064769,23.46488969916558,16.618198168716354,66.85093810808138,132.69045085760604,18.14759428737245,1.895221377826545,40.157478567154435,18.193591639185936,197
1461,149A_11032_131313,2019-05-04,-68.7358,-20.3236,-13.7751,14.0689,2.3296,39.1918,880080.5691,23:06:29.844585,B,A,,48.258269251319405,47.715688801470954,50.03676275218669,86.38124963449428,28.396392426262874,32.788455417565245,65.51895395462577,27.144545634709726,97
1463,149A_11428_131313,2019-05-04,-67.6537,-24.2876,-14.2668,14.0753,2.3296,39.0304,880080.5691,23:05:23.647450,B,A,,27.748079798971805,27.735182964512326,21.106342748012413,38.28596949367871,21.82614711673137,6.885299075637705,26.43833639461238,22.11777620311873,82
1478,150D_05704_131313,2016-09-22,91.7874,32.9411,-169.783,13.9777,2.3296,33.802,878914.0651,23:53:21.016297,A,D,,96.4407315920847,96.60677955154324,9.4531931349448,67.71893818850984,48.41578111341447,-13.103187169123307,27.976445371448186,50.26984802100545,104
1501,152D_05159_131313,2016-09-11,43.6537,38.3889,-169.9058,13.9591,2.3296,33.8321,880063.2047,3:09:19.178882,A,D,-94.10499542025046,58.49573363291916,48.73516290910858,55.748423888490365,174.51109072026205,42.7316075933652,-2.4537708669727265,64.08706797651904,43.41333790500044,266
1522,153D_04498_131313,2016-09-11,20.5443,44.9956,-169.96,13.9387,2.3296,33.6596,880311.4695,4:46:13.625002,A,D,-8.96326509627237,26.888061735847078,26.964114580527387,-14.035266338769624,54.69605774230687,26.964114580527387,-14.035266338769624,54.69605774230687,26.888061735847078,103
1523,153D_04699_131413,2016-09-11,20.0438,42.9574,-169.9573,13.9469,2.3296,33.7462,880311.4695,4:46:47.616708,A,D,-19.62468184363401,29.503604215533084,30.349411996557972,-19.708892838158825,57.05652828818665,30.349411996557972,-19.708892838158825,57.05652828818665,29.503604215533084,82
1594,159A_04792_131313,2019-12-25,55.5351,42.0722,-10.07,13.9528,2.3296,39.3821,879067.1505,14:13:14.609155,A,A,,15.085737923560348,13.74841282024886,3.373842429802369,51.54083281904313,15.79781205625873,7.985587634643844,58.71492399271617,16.73198387028764,102
1596,159A_04992_131313,2016-09-11,56.0042,40.0866,-10.0914,13.9566,2.3296,33.6905,879113.409,14:12:23.697605,A,A,-57.26775502506791,44.19274967959071,39.868714874489726,42.99594160739879,106.38281909737587,39.55150141339025,0.8056906493219003,44.91126006252384,39.58977679548549,190
1597,159A_05190_131313,2016-09-11,56.4684,38.1004,-10.1194,13.9662,2.3296,33.7703,879113.409,14:11:50.596982,A,A,-62.89548472364582,44.33095097359554,40.44370642494586,50.060926008885424,109.74057391895198,37.39503630541434,8.47297479497374,48.67443959734485,37.4146138677804,178
1598,159A_05389_131313,2016-09-11,56.9168,36.1097,-10.1619,13.9688,2.3296,33.8081,879113.409,14:11:17.495331,A,A,-9.796627694789755,43.167716272102865,42.096773144141935,15.041800885551478,52.2942877056373,40.6051004172284,7.350418196555195,42.06961179009106,40.650951403364864,188
1600,159A_05788_131313,2016-09-11,57.7887,32.1295,-10.2734,13.9823,2.3296,33.9109,879113.409,14:10:11.298197,A,A,-22.07787612430931,38.08082040329001,36.90753079285952,24.700284182191,63.3529369431444,35.85951045330244,13.937264547221002,48.31731725551922,35.9197060040187,180
1601,159A_05987_131313,2016-09-11,58.2174,30.1343,-10.3398,13.9865,2.3296,33.9412,879113.409,14:09:38.200657,A,A,2.4718594094131845,36.68524086152846,36.67867414946487,9.022942679943505,44.099967901680415,36.67867414946487,9.022942679943505,44.099967901680415,36.68524086152846,162
1603,159A_06370_101013,2016-09-11,59.0187,26.2258,-10.4993,13.9912,2.3296,33.9992,879113.409,14:08:33.378688,A,A,-91.67331439104312,50.70005007596293,43.48802599899644,58.458990947302844,143.92583293940547,41.29974071448666,17.650054085161344,82.60180702046571,42.199847866275185,183
1604,159A_06375_101213,2020-04-05,59.0341,26.1407,-10.5014,13.9914,2.3296,39.6671,878770.8561,14:08:06.609659,B,A,,48.390374807873236,48.39037480787326,11.534908522790131,-16.61700778581006,48.39037480787326,11.534908522790131,-16.61700778581006,48.390374807873236,118
1616,161A_04594_121313,2016-09-11,5.7247,44.0298,-10.0384,13.9473,2.3296,33.8062,880460.7278,17:30:58.477768,A,A,,31.21305095940547,31.21305095940552,16.86420223023083,25.127514485746794,31.21305095940552,16.86420223023083,25.127514485746794,31.21305095940547,98
1620,162A_06192_060402,2019-03-24,-15.4359,28.1988,-10.4139,13.9855,2.3296,39.6302,878610.2236,19:05:29.686777,A,A,,39.27615811942757,39.27615811942756,61.51931272839112,-107.47001622337733,28.138043279592065,43.80425427070726,-68.03693160954212,28.138043279592083,258
1647,164D_06070_131313,2016-09-23,105.4723,29.2767,-169.62,13.98,2.3296,33.8457,878566.2947,22:56:45.750022,A,D,,150.00261304583714,150.9353968610517,49.37492198090199,79.82394300811127,25.298959709807335,2.1204281230321174,15.278022949037666,39.32480496996007,86
1690,168D_04647_101504,2016-09-12,9.8508,43.3296,-169.9566,13.941,2.3296,33.7934,880908.8357,5:27:50.001576,A,D,-60.139066076897464,28.19499762220291,27.75160792435705,51.80756379509246,0.5080239953676043,27.75160792435705,51.80756379509246,0.5080239953676043,28.19499762220291,111
1695,169A_13625_001315,2019-11-26,167.4405,-46.0876,-19.4954,14.0701,2.3296,40.7121,909167.8158,7:54:11.982659,B,A,,11.576260524064194,11.576260524064326,50.01743309712509,-156.1328524738243,16.193206725827796,50.07090033509608,-158.54208314605597,16.19320672582776,91
1696,169D_00001_020800,2019-03-19,-17.7881,28.2467,-169.4013,13.985,2.3296,37.0284,852181.069,7:10:12.157370,B,D,,17.057856180253342,17.02984926420094,-24.27372309062156,36.52387938150956,17.02984926420094,-24.27372309062156,36.52387938150956,17.057856180253342,200
1737,174A_05018_131313,2016-09-12,45.8039,39.8264,-10.0784,13.9609,2.3296,33.7033,879027.2152,14:53:27.958905,A,A,,228.5752543350747,233.38252117828804,81.17634984091121,134.5976489141577,20.24103407112752,-3.4377241651424315,-3.9218204227324853,37.54807673666352,119
1740,174A_05798_131313,2016-09-12,47.5097,32.0281,-10.2843,13.9777,2.3296,33.8864,879027.2152,14:51:18.313941,A,A,,25.219023964424707,29.69655732331006,22.57121491210364,21.008069242707453,28.984533209722315,24.322448920738317,23.70088057024315,25.16722423672715,84
