frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time
013D_04889_131300,20191227.0000,-123.8070,41.0996,-169.5494,13.9499,2.3296,36.8268,852910.9949,14:23:35.547547
014A_04821_040400,20160901.0000,34.5838,41.8028,-10.3684,13.9551,2.3296,33.6729,852380.5203,15:35:09.835257
014A_04939_131313,20160901.0000,35.3283,40.6164,-10.0705,13.9589,2.3296,39.4457,879170.4833,15:34:49.152249
014A_05138_131313,20160901.0000,35.7908,38.6299,-10.0995,13.9638,2.3296,39.4904,879171.6481,15:34:16.052653
014A_05334_121313,20160901.0000,36.2413,36.6381,-10.1402,13.9686,2.3296,33.8306,879170.4833,15:33:42.953058
014A_05540_151414,20160901.0000,36.6634,34.6463,-10.2017,13.9735,2.3296,33.8662,879170.4833,15:33:09.852435
014A_07524_101303,20161218.0000,40.6882,15.1034,-11.0404,14.0201,2.3296,39.6590,877643.6217,15:27:45.611587
014A_07659_000004,20200724.0000,41.8375,13.4244,-10.9604,13.9827,2.3296,43.9655,928646.9499,15:26:56.503566
014A_07688_131313,20180816.0000,41.0844,13.1324,-11.1477,14.0261,2.3296,39.6593,877601.5823,15:26:42.955491
014A_07884_121313,20180816.0000,41.4781,11.1608,-11.2604,14.0299,2.3296,39.6564,877601.5823,15:26:10.327646
014A_08068_141313,20190507.0000,41.8589,9.3257,-11.3655,14.0329,2.3296,39.6481,877601.5823,15:25:40.267811
014D_02576_141314,20210303.0000,-141.8909,64.1856,-168.4950,13.8986,2.3296,39.2005,882519.8945,15:55:58.585480
014D_02786_131213,20200904.0000,-142.8345,62.1402,-168.9173,13.9035,2.3296,39.2478,882519.8945,15:56:36.140453
014D_02949_081005,20200904.0000,-143.5340,60.4455,-169.1867,13.9077,2.3296,39.2857,882519.8945,15:57:04.616074
015A_03923_131313,20190419.0000,8.0471,50.7714,-10.1531,13.9323,2.3296,39.2916,880059.7104,17:16:34.292212
015A_04513_111313,20160901.0000,9.6603,44.8269,-10.0249,13.9471,2.3296,33.8388,880679.3739,17:14:43.832255
015A_04723_101013,20160901.0000,10.1384,42.7838,-10.0449,13.9508,2.3296,33.8810,880679.3739,17:14:09.776826
015A_05284_070309,20161130.0000,11.3984,37.2587,-10.1379,13.9633,2.3296,33.7478,878930.9303,17:11:56.285084
015D_02319_131302,20210303.0000,-165.1951,66.8663,-167.7970,13.8956,2.3296,39.1653,882583.9575,17:33:57.794001
015D_02737_110804,20200507.0000,-167.2567,62.5098,-168.7595,13.9028,2.3296,39.2601,882583.9575,17:35:07.290330
015D_02942_110000,20200507.0000,-166.6350,60.5777,-167.8374,13.9056,2.3296,33.5754,828418.1466,17:35:37.632397
015D_03772_000504,20200612.0000,-171.5375,52.4420,-170.3636,13.8925,2.3296,41.4220,904156.3694,17:38:02.063308
016A_02427_070806,20200823.0000,-22.1233,65.8153,-11.8712,13.9002,2.3296,39.1628,882341.6830,18:59:44.946428
016A_02504_162118,20201221.0000,-21.7818,64.9708,-11.7366,13.9024,2.3296,39.1704,882341.6830,18:59:29.678139
016A_02562_091313,20191103.0000,-21.3560,64.2691,-11.4987,13.9024,2.3296,39.1858,882341.5757,18:58:31.975029
016D_09376_121313,20170312.0000,152.1804,-3.7472,-167.7615,14.0506,2.3296,33.8913,878699.0798,19:31:52.452098
016D_09543_000810,20170312.0000,151.4072,-5.5252,-167.5691,14.0418,2.3296,39.2434,901863.0819,19:32:23.276193
016D_09957_141514,20170312.0000,150.8892,-9.5702,-167.2959,14.0561,2.3296,33.7524,878699.0798,19:33:28.988217
017D_05353_130400,20190829.0000,136.3116,36.8229,-169.6078,13.9638,2.3296,36.9034,852267.0374,20:59:44.904518
017D_05514_131312,20190501.0000,135.4459,34.8601,-169.8147,13.9680,2.3296,39.5887,879115.2394,21:00:11.832712
017D_05636_040304,20200413.0000,135.1678,33.6141,-169.7817,13.9719,2.3296,39.6124,879114.0747,21:00:38.011733
017D_08850_021413,20170324.0000,128.6010,1.4873,-168.1356,14.0450,2.3296,34.0753,879283.6335,21:09:10.490701
017D_09056_131314,20170324.0000,128.1682,-0.5703,-167.9927,14.0450,2.3296,34.0753,879283.6335,21:09:44.558463
017D_09822_091612,20170312.0000,126.5048,-8.1988,-167.4116,14.0551,2.3296,33.8810,879285.9630,21:11:50.777742
018A_09021_121620_orig,20201016.0000,,,-11.9640,14.0476,2.3296,39.6892,879162.8882,23:37:02.790348
018A_09253_131313_orig,20190507.0000,,,-12.1484,14.0535,2.3296,39.6412,879162.8882,23:36:06.734545
018A_09451_131313_orig,20200724.0000,,,-12.2980,14.0561,2.3296,39.6024,879162.8882,23:35:44.556157
018A_09652_131313,20200805.0000,-78.2152,-6.5137,-12.4548,14.0595,2.3296,39.5546,879162.8882,23:35:12.241672
018A_10424_000913,20200724.0000,-75.9952,-14.4017,-13.2696,14.0543,2.3296,41.4018,902359.5040,23:32:59.064347
018A_12160_000002,20200718.0000,-70.6592,-31.5722,-15.9217,14.0684,2.3296,43.4103,934714.7345,23:28:51.463116
018A_12277_061314,20210126.0000,-71.2226,-32.6572,-15.5812,14.0678,2.3296,39.0831,884524.3162,23:28:37.229354
018A_12472_131313,20190107.0000,-70.5379,-34.7042,-15.9588,14.0699,2.3296,38.9748,884396.0830,23:27:09.316240
018A_12668_131313,20190501.0000,-69.8479,-36.6681,-16.3502,14.0705,2.3296,38.8863,884524.3162,23:27:18.314566
018A_13058_131313,20200718.0000,-68.3568,-40.5798,-17.2381,14.0679,2.3296,38.6959,884524.3162,23:26:22.952257
018A_13253_131313,20200718.0000,-67.5403,-42.5257,-17.7488,14.0658,2.3296,38.6007,884524.3162,23:25:49.849578
018D_03594_131313,20170306.0000,115.5888,54.0367,-169.7232,13.9220,2.3296,33.5100,880854.8158,22:32:40.010741
018D_09287_131313,20170312.0000,103.0052,-2.8859,-167.8270,14.0486,2.3296,33.8182,878084.4082,22:49:07.315546
018D_09415_060403,20170312.0000,102.7070,-4.2716,-167.7214,14.0510,2.3296,33.7809,878083.2434,22:49:30.266860
019A_08168_171412,20201103.0000,-81.3967,8.6478,-11.4000,14.0325,2.3296,39.7274,878557.9748,23:40:05.772661
019A_08184_131312,20201103.0000,-81.3282,8.3152,-11.4213,14.0325,2.3296,39.7254,878557.9748,23:40:00.253493
019A_08975_050911,20210719.0000,-79.7043,0.4256,-11.9379,14.0454,2.3296,39.6935,879162.8882,23:37:11.993823
019D_04026_131314,20201017.0000,89.6357,49.6530,-169.9057,13.9327,2.3296,39.3070,880058.6047,0:13:07.108163
019D_04427_131313,20201017.0000,88.6004,45.7171,-169.9660,13.9414,2.3296,39.4037,880058.6047,0:14:12.812993
019D_05022_131313,20160914.0000,87.1794,39.7603,-169.9218,13.9546,2.3296,33.7013,879374.8192,0:16:08.360023
019D_05221_131313,20160914.0000,86.6807,37.7728,-169.9135,13.9577,2.3296,33.7424,879374.8192,0:16:41.472979
019D_05420_131313,20160914.0000,86.2238,35.7846,-169.8745,13.9730,2.3296,33.8209,879374.8192,0:17:14.570519
019D_05619_131313,20160914.0000,85.7897,33.7937,-169.8171,13.9770,2.3296,33.8579,879374.8192,0:17:47.678337
019D_05818_131313,20160914.0000,85.3620,31.8014,-169.7519,13.9808,2.3296,33.8933,879374.8192,0:18:20.776904
019D_06017_131313,20160914.0000,84.9433,29.8083,-169.6782,13.9888,2.3296,33.9585,879374.8192,0:18:53.875472
019D_06217_131313,20160914.0000,84.5489,27.8072,-169.5887,13.9926,2.3296,33.9881,879374.8192,0:19:26.969928
019D_06418_131313,20160914.0000,84.2314,26.0832,-169.4988,13.9882,2.3296,34.0156,879375.9840,0:19:55.515438
019D_06617_131313,20200725.0000,83.7818,23.8111,-169.3949,13.9935,2.3296,39.6483,878171.6595,0:20:13.598331
020A_04368_131313,20200103.0000,-114.1480,46.3171,-10.0360,13.9464,2.3296,39.4343,880427.0083,1:28:27.501010
020A_04566_131313,20190508.0000,-113.6403,44.3337,-10.0196,13.9492,2.3296,39.4884,880425.8435,1:27:48.472263
020A_04765_131313,20190414.0000,-113.1577,42.3488,-10.0278,13.9536,2.3296,39.5386,880425.8435,1:27:14.418311
020A_04964_131313,20200315.0000,-112.6843,40.3612,-10.0471,13.9605,2.3296,39.5785,880427.0083,1:26:46.857757
020A_05163_131313,20190508.0000,-112.2308,38.3724,-10.0822,13.9646,2.3296,39.6253,880425.8435,1:26:09.175533
020A_05362_131313,20190508.0000,-111.7870,36.3819,-10.1282,13.9686,2.3296,39.6676,880425.8435,1:25:36.075938
020A_06395_071312,20200725.0000,-109.6352,26.1649,-10.4902,13.9925,2.3296,39.7861,879763.0831,1:22:57.381824
020A_06625_120500,20200619.0000,-109.5469,23.9427,-10.7326,13.9962,2.3296,37.2904,853829.2342,1:22:19.354628
020D_04935_131313,20160902.0000,62.7082,40.6235,-169.9282,13.9506,2.3296,33.6153,879026.5497,1:54:37.918091
020D_05135_131313,20160902.0000,62.2548,38.6351,-169.8940,13.9543,2.3296,33.6590,879026.5497,1:55:11.020769
020D_05334_131313,20160902.0000,61.7974,36.6463,-169.8581,13.9620,2.3296,33.7382,879026.5497,1:55:44.113170
020D_05533_131313,20160902.0000,61.3583,34.6567,-169.8073,13.9663,2.3296,33.7757,879027.7145,1:56:17.212766
020D_05732_131313,20160902.0000,60.9143,32.6637,-169.7545,13.9709,2.3296,33.8117,879027.7145,1:56:50.310305
020D_05931_131313,20160902.0000,60.5066,30.6720,-169.6786,13.9777,2.3296,33.8782,879027.7145,1:57:23.412985
020D_06130_131313,20160902.0000,60.0879,28.6771,-169.6048,13.9823,2.3296,33.9086,879026.5497,1:57:56.512580
020D_06330_131313,20160902.0000,59.6687,26.6811,-169.5273,13.9871,2.3296,33.9367,879026.5497,1:58:29.613203
020D_06347_151515,20200613.0000,59.6346,26.5171,-169.5197,13.9872,2.3296,39.6807,878973.9680,1:58:52.913005
020D_06446_030303,20160902.0000,59.4293,25.5170,-169.4771,13.9915,2.3296,33.9825,879027.7145,1:58:48.925154
021D_04423_131313,20160902.0000,39.2662,45.7431,-169.9461,13.9380,2.3296,33.5937,879865.6912,3:31:57.213291
