,count,opass,centroid_lon,centroid_lat,VEL_N_noTI,VEL_E_noTI,RMSE_VEL_N_noTI,RMSE_VEL_E_noTI,VEL_N_noT,VEL_E_noT,RMSE_VEL_N_noT,RMSE_VEL_E_noT,ITRF_N,ITRF_E,ITRF_RMSE_E,ITRF_RMSE_N
78,2,"['A', 'D']",67.93369999999999,25.2049,23.272291525230926,51.035099322747634,2.2727132844412505,12.256024369242672,30.97502245595597,11.970018217492198,2.247448414431946,12.1205022023904,33.069599999999994,35.1592,0.4269164633352371,0.1686337253734638
79,3,"['A', 'D', 'D']",67.93369999999999,27.4549,16.044082041469398,21.011578764053077,2.141421597976484,11.655113844010195,19.391281454327952,-0.9120712479913216,2.414104267725234,13.138593412086164,33.066,33.89000000000001,0.4490731195102496,0.1686218649325558
80,2,"['A', 'D']",67.93369999999999,29.7049,6.80146753363902,13.38033976942626,2.652976035058908,14.616463826889092,6.88722835759353,18.659900122158582,2.471581936811253,13.615624891468974,33.0632,32.6252,0.4699921985168128,0.1660250985042119
81,3,"['A', 'A', 'D']",67.93369999999999,31.9549,-0.0432112263050032,32.7313826772874,2.046599369764643,11.343318146236856,2.766894036672052,19.714108658815917,1.975655657507964,10.949205723599556,26.1144,30.794,1.2229677019447405,12.703426729298936
82,2,"['A', 'D']",67.93369999999999,34.2049,3.3060901303173016,40.36976689804243,1.9959062675821704,11.12307486650677,6.442537555025572,24.84751156123869,1.960740995394593,10.926985818684582,7.3444,29.0004,0.6325245713277337,9.76522788605912
83,3,"['D', 'D', 'A']",67.93369999999999,36.4549,2.2437972255716248,57.7379839264607,1.223900768675338,6.855674280921381,5.649407214737873,45.75891975413666,1.1692286923265176,6.54925029920589,3.78,28.758,0.0312249899919919,0.2020725942163688
84,2,"['D', 'A']",70.18369999999999,25.2049,27.7266955913074,74.06260952822501,4.177297895636843,22.61048438204617,32.8975668209755,45.01744688217755,4.230211372759447,22.895498259760007,33.555200000000006,35.697199999999995,0.4152160080407951,0.1521819086926327
85,3,"['D', 'D', 'A']",70.18369999999999,27.4549,20.331054501015668,51.55269949318812,1.6126462279947515,8.788643591860716,26.17915080258752,20.456960574172616,1.6923619199306243,9.222149986768608,33.5536,34.4732,0.4371948459592511,0.1515992524167998
86,2,"['D', 'A']",70.18369999999999,29.7049,12.587458000953951,60.96422971262714,2.654382524910472,14.608245751967017,19.8988135095352,26.324520616356324,2.623258813874662,14.436474718140287,33.5512,33.2512,0.4586058583722342,0.151583860178668
87,2,"['A', 'D']",70.18369999999999,31.9549,14.440252315134538,39.41346432351929,1.994555007758616,11.067617374747432,18.12984456437272,22.291601380769603,2.059403946427545,11.427337644170048,33.5444,31.9216,0.4805958107738071,0.1521808135081428
