frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time,s1AorB,slope_plates_vel_azi_itrf2014,slope_daz_mm_mmyear,daz_mm_RMSE_selection,daz_mm_count_selection,intercept_daz_mm_mmyear,daz_mm_RMSE_mmy_full,daz_mm_notide_RMSE_selection,daz_mm_notide_count_selection,slope_daz_mm_notide_mmyear,intercept_daz_mm_notide_mmyear,daz_mm_notide_RMSE_mmy_full,daz_mm_notide_noiono_grad_RMSE_selection,daz_mm_notide_noiono_grad_count_selection,slope_daz_mm_notide_noiono_grad_mmyear,intercept_daz_mm_notide_noiono_grad_mmyear,daz_mm_notide_noiono_grad_RMSE_mmy_full
007D_04892_131313,20181126,23.6981,41.0616,-169.9469,13.9509,2.3296,39.5183,880238.0883,4:31:04.186059,A,-17.954517103340933,-10.58805894967774,22.544748629418542,98,7.676253976804389,2.228926247612673,21.20845306538988,97,-8.89761643017806,-85.7062311389385,2.1176305451255284,22.57190450914128,101,-8.383611490881487,-85.79416739889768,2.081844724294156
007D_05457_030000,20181126,23.3134,35.413,-169.3158,13.9643,2.3296,33.953,825906.8785,4:32:36.123898,A,-12.479576620938232,-5.5495831347445375,87.6739580107416,19,36.02567729853523,30.323532669625763,72.84737200579781,17,-5.465133745416128,26.960464387782693,29.55628984091051,74.31185753528148,17,-5.6605869569583165,29.53228860395552,29.58166857966064
008A_12731_060000,20191115,176.2581,-37.3004,-15.8475,14.0678,2.3296,33.1983,831327.6624,6:59:11.891105,B,37.23006775961787,26.973307425286865,22.446302643731595,72,-163.76605690248385,3.0270934986986533,23.32515998224001,72,26.44900794084316,-249.749289508884,2.980536052134925,24.376896689739688,73,28.18988032836952,-253.003171454019,3.048685433344406
008A_12836_151207,20191115,177.43,-38.6082,-16.5744,14.068,2.3296,38.8516,884798.099,6:58:46.163762,B,37.45046206913105,3.274082938325563,24.3724685181025,21,-30.38000696507042,24.09504512720626,16.63917400953473,19,3.133365189381254,-46.652546543734765,22.234487251117933,16.6065467177424,19,2.6580593069127545,-41.06752122021596,21.58828284217914
009D_02423_131316,20170405,-17.5922,65.6371,-168.0106,13.897,2.3296,39.1481,882348.3389,7:41:23.601613,A,-17.998480373387498,-14.76773763175497,26.52495048496847,75,34.804688723847455,5.017241578628271,29.591509201220585,82,-15.236575286142228,9.667151550465164,4.803560811767029,29.29438964977261,81,-15.169693054955886,8.143481783789035,4.820438837620647
009D_02597_080910,20170306,-18.6028,63.9135,-168.5669,13.9007,2.3296,33.4028,882348.2316,7:41:12.960145,B,-17.81674061187286,-10.811102746067734,21.720727010641795,169,30.543441241985235,3.682950578011327,22.145329593167624,175,-11.450457516641448,27.421297243481902,3.587481713794159,22.155679344840703,175,-11.267904497608844,27.50568539617695,3.5999525283430223
010D_12833_131313,20190624,-69.2828,-38.3502,-163.3108,14.0681,2.3296,38.6731,883042.1081,9:48:38.533151,B,-10.656535563580968,-27.26867784684564,36.55342380690995,57,179.0830426120341,8.421696963451772,34.86674563919993,58,-28.617116747242548,244.3510402965153,8.29046911762394,34.3248482630491,57,-27.088960244487097,229.51018751257075,8.404194206122682
011A_04903_171717,20201022,109.2944,40.9692,-10.0719,13.9581,2.3296,39.4095,878980.9567,10:39:07.363710,A,-12.540819589991026,-6.031871658894867,15.745663393776644,29,118.66279664843378,8.217055373616885,13.334218861240332,27,-5.349662950665167,181.95968929560576,7.620748973452514,10.384887926260449,25,-5.83838116866424,187.0478109040241,7.5802530208771
011A_05533_131313,20160925,110.7177,34.6683,-10.1997,13.9746,2.3296,33.798,878674.7858,10:36:57.337248,A,-12.990066473282484,-14.632850377717087,18.060596817788507,55,54.45705998586528,3.0827435928806364,20.659714322240927,60,-15.026236627542335,18.24854116766462,2.881740134422192,21.33830605968052,58,-19.546654820048605,18.48012364463474,3.1967130890555078
011A_05732_131313,20201022,111.157,32.677,-10.2551,13.9765,2.3296,39.5836,878980.9567,10:36:49.452326,A,-13.138818908427492,-9.169483442033306,16.294392372716985,40,264.1946826368972,5.442458344401003,13.693371097309262,36,-10.71106326223387,464.8386346204212,5.570757982721313,15.56474699483386,38,-5.904972508462554,431.3687567930192,5.877994542111211
011A_05932_131313,20200425,111.5818,30.6839,-10.3207,13.9832,2.3296,39.6243,878980.9567,10:36:07.844789,A,-13.262376807745872,-19.294329744105443,16.0472762518523,69,90.20871910312592,2.4017346774798827,21.14252169474853,76,-18.86509705431828,131.00126770963453,2.36303752425996,19.368782996735845,71,-27.12431537502297,149.54445896954078,2.7712904911077905
011D_08160_131211,20170324,-81.8453,8.3652,-168.5764,14.0297,2.3296,33.9054,877656.2679,11:14:49.320423,A,-1.009477089120271,-9.355255522470877,39.73680098578309,32,-1.365783775196988,14.338128443839189,25.484157010753503,27,-9.856245307256888,-34.22666240661222,13.293529894906714,28.462123196246377,28,-10.434720454391194,-36.477023561925634,13.260496636154931
012A_05244_131313,20160901,85.4277,37.5615,-10.1058,13.9732,2.3296,33.8032,879289.291,12:16:28.930279,A,-6.32104198593013,3.756243715492468,16.960595277596372,50,10.308367386104432,2.18165263376229,16.48253358342634,49,3.015312718047681,59.80492268201402,1.9684226854003712,18.791237396361808,50,-2.463440270945405,69.74978301317404,2.08511084899502
012A_05443_131313,20160901,85.9057,35.5747,-10.132,13.9778,2.3296,33.8404,879291.6205,12:15:55.837878,A,-6.454010317327578,5.432972258631807,18.459944326963917,56,31.697956554109854,4.166594754679311,18.603486108189337,56,3.4483731788166567,114.07016854604372,3.817957679759952,23.447048067611263,61,-1.7734656364370125,114.63137783590972,3.8956860895226098
012A_05642_131313,20160901,86.3398,33.5828,-10.1901,13.9812,2.3296,33.8758,879289.291,12:15:22.734172,A,-6.621879008870079,16.582518986495806,22.33793857584991,47,-9.946664525784527,3.5549822513611686,18.385289637422023,44,15.2945864775754,85.08468915772262,3.4114173830554977,20.935828943816038,48,10.6083577596527,81.76230819507637,2.883724616086893
012A_05841_131313,20160901,86.7692,31.591,-10.2547,13.9893,2.3296,33.9412,879291.6205,12:14:49.634577,A,-6.75939661970167,17.39232437751661,30.39458479131064,70,-15.730977594039553,3.057309786632096,23.162320547707825,64,17.04514203694739,61.92939860240048,2.9461224140516142,23.66568244230404,63,4.139504951993808,87.6155653068659,2.5473740161299503
012A_06041_131313,20160901,87.1834,29.5976,-10.3311,13.9938,2.3296,33.9707,879289.291,12:14:16.536009,A,-6.896155568894837,20.075266841154505,27.884906617597387,69,-42.34780207203842,3.9836204717782753,21.251695954861017,61,19.677243008231063,25.25025268994706,4.034656751786558,27.098573356812857,68,5.187567678840657,46.41661488815048,3.454587223474928
